,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
312,257,Corey Kispert,SF,24,WAS,51,1134,13.0,.624,.620,.200,1.5,10.2,5.8,9.8,0.8,0.6,9.6,20.1,1.0,0.2,1.1,.047,-0.1,-2.2,-2.3,-0.1
313,258,Maxi Kleber,C,32,DAL,18,387,9.8,.594,.584,.286,4.2,14.0,9.1,11.3,0.9,3.2,16.4,11.4,0.3,0.3,0.6,.074,-1.9,0.5,-1.4,0.1
314,259,Kevin Knox,SF,24,DET,31,560,9.8,.570,.505,.118,3.6,11.7,7.5,5.7,1.1,1.0,10.1,16.4,0.2,0.2,0.3,.028,-2.8,-1.9,-4.6,-0.4
315,260,John Konchar,SF,27,MEM,42,820,11.2,.509,.566,.092,6.6,18.5,12.3,12.4,2.0,4.3,14.1,9.7,0.3,1.2,1.6,.091,-2.8,2.1,-0.7,0.3
317,261,Furkan Korkmaz,SG,26,PHI,35,300,9.1,.519,.526,.263,1.5,9.6,5.5,10.7,2.3,0.9,10.5,13.4,0.0,0.3,0.3,.055,-3.2,0.4,-2.7,-0.1
318,262,Luke Kornet,C,28,BOS,37,548,18.3,.716,.000,.277,13.6,13.8,13.7,7.3,1.2,5.9,11.3,11.1,1.6,0.9,2.5,.221,0.6,2.2,2.8,0.7
319,263,Jonathan Kuminga,PF,21,GSW,49,1244,16.7,.605,.222,.369,5.3,14.6,10.0,10.9,1.3,1.4,11.0,24.0,1.6,1.1,2.7,.105,0.0,-0.6,-0.6,0.5
320,264,Kyle Kuzma,PF,28,WAS,51,1617,15.6,.543,.365,.163,3.2,18.3,10.6,21.1,0.6,1.8,11.5,30.2,-0.8,0.7,-0.1,-0.002,0.3,-2.0,-1.6,0.1
321,265,Jock Landale,C,28,HOU,29,269,10.4,.438,.261,.246,14.9,11.2,13.1,8.8,1.3,3.8,13.6,14.1,0.0,0.4,0.4,.064,-3.8,-0.2,-4.0,-0.1
322,266,Jake LaRavia,PF,22,MEM,11,122,4.8,.447,.558,.093,6.1,8.5,7.2,7.3,0.4,0.8,8.2,17.2,-0.1,0.1,-0.1,-0.022,-6.9,-1.7,-8.6,-0.2
